firm,ndc_firm_id
Cambridge Enterprise Limited,52422
University of Washington,60215
"PRECISION GENOME ENGINEERING, INC.",68094
University of Pittsburgh—Of the Commonwealth System of Higher Education,60215
University of Vienna,60215
The Regents of the University of California,76326
THE ROYAL COLLEGE OF SURGEONS IN IRELAND,68791
"The United States of America, As Represented by the Secretary, Department of Health & Human Services",58733
The General Hospital Corporation,21220
UNIVERSITY OF MIYAZAKI,60215
Sanford Health,57993
THE UNIVERSITY OF OTTAWA,60215
Johnson & Johnson Consumer Inc.,84539
"Alcon Research, Ltd.",00065
"Noven Pharmaceuticals, Inc.",68968
University of Kansas,60215
University of Rochester,60215
Infirst Healthcare Limited,62372
"Io Therapeutics, Inc.",79952
"SICHUAN JIUZHANG BIOLOGICAL SCIENCE AND TECHNOLOGY CO., LTD",87215
"National Institute of Biological Sciences, Beijing",82076
"NIPPON ZOKI PHARMACEUTICAL CO., LTD.",24509
MITSUBISHI TANABE PHARMA CORPORATION,70510
CIPLA LIMITED,80735
University of Saskatchewan,60215
"Global Blood Therapeutics, Inc.",59448
Chiesi Farmaceutici S.p.A.,10122
H. Lundbeck A/S,67386
Astellas Pharma Inc.,00469
Celgene CAR LLC,59572
Boehringer Ingelheim International GmbH,00597
The University of North Carolina at Chapel Hill,60215
Sanofi-Aventis Deutschland GMBH,00024
"Human Matrix Services, LLC",71356
VTV THERAPEUTICS LLC,79952
Zealand Pharma A/S,80644
Mallinckrodt Pharma IP Trading D.A.C.,63004
Trustees of Boston University,40098
The United States of America as Represented by The Secretary of the Department of Health and Human Services National Institutes of Health Office of Technology Transfer,58733
The Trustees of the University of Pennsylvania,40098
DUKE UNIVERSITY,71782
"Neurotech, USA, Inc.",82958
Alkermes Pharma Ireland Limited,65757
"University of Georgia Research Foundation, Inc",60215
GE HEALTHCARE AS,71093
The Research Foundation for The State University of New York,52654
SUVEN LIFE SCIENCES LIMITED,68022
THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,40098
California Institute of Technology,68403
"THERA VANCE BIOPHARMA R&D IP, LLC",82143
Arizona Board of Regents on behalf of Arizona State University,61973
"Jiangsu Atom Bioscience and Pharmaceutical Co., Ltd.",77573
"Sumitomo Dainippon Pharma Co., Ltd.",63402
"JIANGSU TASLY DIYI PHARMACEUTICALS CO., LTD.",77573
Purdue Pharma L.P.,59011
3M Innovative Properties Company,57362
"Shanghai Hengrui Pharmaceutical Co., Ltd.",73557
"Jiangsu Hengrui Medicine Co., Ltd.",77573
Helsinn Healthcare SA,69639
UNIVERSITY COLLEGE CARDIFF CONSULTANTS LIMITED,60215
"INSTITUTE FOR MOLECULAR MEDICINE, INC.",55330
Janssen Vaccines & Prevention B.V.,50458
Sanofi,00024
The University of Melbourne,60215
NATIONAL UNIVERSITY CORPORATION CHIBA UNIVERSITY,82076
Indiana University Research and Technology Corporation,10578
"S.K. PHARMACEUTICALS, INC.",31720
ELC MANAGEMENT LLC,83591
THE PENN STATE RESEARCH FOUNDATION,69125
AMARIN PHARMACEUTICALS IRELAND LIMITED,52937
"JC (WUXI) COMPANY, INC.",65050
SUVEN SCIENCES LIMITED,68022
UNIVERSITY OF UTAH RESEARCH FOUNDATION,60215
"UNIVERSITY OF FLORIDA RESEARCH FOUNDATION, INC.",60215
Mayo Foundation for Medical Education and Research,52670
TERUMO KABUSHIKI KAISHA,53877
